
# TEST CASE FORMAT:
#
# supported  ;  desired  ;  result

################################################################
# es-419, es-AR, and es-MX are in a cluster; es is in a different one
#
# AR  - Argentina
# ES  - Spain
# MX  - Mexico
# 419 - Latin America and Caribbean
# es  = es-ES

es-419, es-ES ;     es-AR ;     es-419
es-ES, es-419 ;     es-AR ;     es-419

es-419, es ;    es-AR ;     es-419
es, es-419 ;    es-AR ;     es-419

es-MX, es ;     es-AR ;     es-MX
es, es-MX ;     es-AR ;     es-MX

es-ES, es-419, es-PT  ;  es-MX  ;  es-419
es-ES, es-419, es-PT  ;  es-AR  ;  es-419
es-ES, es-419, es-MX  ;  es-PT  ;  es-ES
es-419, es-PT, es-MX  ;  es-ES  ;  es-PT


################################################################
# en-GB, en-IN, en-AU, and en-NZ are in a cluster; en in a different one
#
# GB - Great Britain
# AU - Australia
# IN - India
# NZ - New Zealand
# US - United States
# en = en-US

en-GB, en-US ;  en-AU ;     en-GB
en-US, en-GB ;  en-AU ;     en-GB

en-GB, en ;     en-AU ;     en-GB
en, en-GB ;     en-AU ;     en-GB

en-NZ, en-US ;  en-AU ;     en-NZ
en-US, en-NZ ;  en-AU ;     en-NZ

en-NZ, en ;     en-AU ;     en-NZ
en, en-NZ ;     en-AU ;     en-NZ

en, en-GU, en-IN, en-GB  ;  en-VI  ;  en
en, en-GU, en-IN, en-GB  ;  en-AU  ;  en-GB
en, en-GU, en-IN, en-GB  ;  en-ZA  ;  en-GB

fr, en, en-GB, es-419, es-MX, es ;  en-NZ ;     en-GB
fr, en, en-GB, es-419, es-MX, es ;  es-ES ;     es
fr, en, en-GB, es-419, es-MX, es ;  es-AR ;     es-419
fr, en, en-GB, es-419, es-MX, es ;  es-MX ;     es-MX


################################################################
# pt-AO and pt-PT in one cluster; pt-BR in another
#
# AO - Angola
# BR - Brazil
# PT - Portugal
# pt = pt-PT

pt-PT, pt-BR ;  pt-AO ;     pt-PT
pt-BR, pt-PT ;  pt-AO ;     pt-PT

pt-PT, pt ;     pt-AO ;     pt-PT
pt, pt-PT ;     pt-AO ;     pt-PT


################################################################
# HK  - Honk Kong
# MO  - Macau
# TW  - Taiwan
# CN  - China
# zh  = zh-CN
# iw  = deprecated code for Hebrew

zh-MO, zh-TW ;  zh-HK ;     zh-MO
zh-TW, zh-MO ;  zh-HK ;     zh-MO

zh-MO, zh-TW ;  zh-HK ;     zh-MO
zh-TW, zh-MO ;  zh-HK ;     zh-MO

zh-MO, zh-CN ;  zh-HK ;     zh-MO
zh-CN, zh-MO ;  zh-HK ;     zh-MO

zh-MO, zh ;     zh-HK ;     zh-MO
zh, zh-MO ;     zh-HK ;     zh-MO

zh-CN, zh-TW, iw ;  zh-Hant-TW ;    zh-TW
zh-CN, zh-TW, iw ;  zh-Hant ;   zh-TW
zh-CN, zh-TW, iw ;  zh-TW ;     zh-TW
zh-CN, zh-TW, iw ;  zh-Hans-CN ;    zh-CN
zh-CN, zh-TW, iw ;  zh-CN ;     zh-CN
zh-CN, zh-TW, iw ;  zh ;    zh-CN

##################################################
91, en, hi ;    sa ;    hi


##################################################

fr, en-GB, en ;     en-GB ;     en-GB
fr, en-GB, en ;     en ;    en
fr, en-GB, en ;     fr ;    fr
fr, en-GB, en ;     ja ;    fr  # return first if no match


##################################################
# testFallback

# check that script fallbacks are handled right

zh-CN, zh-TW, iw ;  zh-Hant ;   zh-TW
zh-CN, zh-TW, iw ;  zh ;    zh-CN
zh-CN, zh-TW, iw ;  zh-Hans-CN ;    zh-CN
zh-CN, zh-TW, iw ;  zh-Hant-HK ;    zh-TW
zh-CN, zh-TW, iw ;  he-IT ;     iw


##################################################
# testSpecials

# check that nearby languages are handled

en, fil, ro, nn ;   tl ;    fil
en, fil, ro, nn ;   mo ;    ro
en, fil, ro, nn ;   nb ;    nn

# make sure default works

en, fil, ro, nn ;   ja ;    en



##################################################
# testRegionalSpecials

# verify that en-AU is closer to en-GB than to en (which is en-US)

en, en-GB, es, es-419 ;     es-MX ;     es-419
en, en-GB, es, es-419 ;     en-AU ;     en-GB
en, en-GB, es, es-419 ;     es-ES ;     es


##################################################
# testHK

# HK and MO are closer to each other for Hant than to TW

zh, zh-TW, zh-MO ;  zh-HK ;     zh-MO
zh, zh-TW, zh-HK ;  zh-MO ;     zh-HK



##################################################
# testMatch-matchOnMazimized

zh, zh-Hant ;   und-TW ;    zh-Hant # und-TW should be closer to zh-Hant than to zh
en-Hant-TW, und-TW ;    zh-Hant ;   und-TW  # zh-Hant should be closer to und-TW than to en-Hant-TW
en-Hant-TW, und-TW ;    zh ;    en-Hant-TW  # zh should be closer to und-TW than to en-Hant-TW


##################################################
# testMatchGrandfatheredCode

fr, i-klingon, en-Latn-US ;     en-GB-oed ;     en-Latn-US

##################################################
# testLongLists

en, sv ;    sv ;    sv
af, am, ar, az, be, bg, bn, bs, ca, cs, cy, cy, da, de, el, en, en-GB, es, es-419, et, eu, fa, fi, fil, fr, ga, gl, gu, hi, hr, hu, hy, id, is, it, iw, ja, ka, kk, km, kn, ko, ky, lo, lt, lv, mk, ml, mn, mr, ms, my, ne, nl, no, pa, pl, pt, pt-PT, ro, ru, si, sk, sl, sq, sr, sr-Latn, sv, sw, ta, te, th, tr, uk, ur, uz, vi, zh-CN, zh-TW, zu ;  sv ;    sv
af, af-NA, af-ZA, agq, agq-CM, ak, ak-GH, am, am-ET, ar, ar-001, ar-AE, ar-BH, ar-DJ, ar-DZ, ar-EG, ar-EH, ar-ER, ar-IL, ar-IQ, ar-JO, ar-KM, ar-KW, ar-LB, ar-LY, ar-MA, ar-MR, ar-OM, ar-PS, ar-QA, ar-SA, ar-SD, ar-SO, ar-SS, ar-SY, ar-TD, ar-TN, ar-YE, as, as-IN, asa, asa-TZ, ast, ast-ES, az, az-Cyrl, az-Cyrl-AZ, az-Latn, az-Latn-AZ, bas, bas-CM, be, be-BY, bem, bem-ZM, bez, bez-TZ, bg, bg-BG, bm, bm-ML, bn, bn-BD, bn-IN, bo, bo-CN, bo-IN, br, br-FR, brx, brx-IN, bs, bs-Cyrl, bs-Cyrl-BA, bs-Latn, bs-Latn-BA, ca, ca-AD, ca-ES, ca-ES-VALENCIA, ca-FR, ca-IT, ce, ce-RU, cgg, cgg-UG, chr, chr-US, ckb, ckb-IQ, ckb-IR, cs, cs-CZ, cu, cu-RU, cy, cy-GB, da, da-DK, da-GL, dav, dav-KE, de, de-AT, de-BE, de-CH, de-DE, de-LI, de-LU, dje, dje-NE, dsb, dsb-DE, dua, dua-CM, dyo, dyo-SN, dz, dz-BT, ebu, ebu-KE, ee, ee-GH, ee-TG, el, el-CY, el-GR, en, en-001, en-150, en-AG, en-AI, en-AS, en-AT, en-AU, en-BB, en-BE, en-BI, en-BM, en-BS, en-BW, en-BZ, en-CA, en-CC, en-CH, en-CK, en-CM, en-CX, en-CY, en-DE, en-DG, en-DK, en-DM, en-ER, en-FI, en-FJ, en-FK, en-FM, en-GB, en-GD, en-GG, en-GH, en-GI, en-GM, en-GU, en-GY, en-HK, en-IE, en-IL, en-IM, en-IN, en-IO, en-JE, en-JM, en-KE, en-KI, en-KN, en-KY, en-LC, en-LR, en-LS, en-MG, en-MH, en-MO, en-MP, en-MS, en-MT, en-MU, en-MW, en-MY, en-NA, en-NF, en-NG, en-NL, en-NR, en-NU, en-NZ, en-PG, en-PH, en-PK, en-PN, en-PR, en-PW, en-RW, en-SB, en-SC, en-SD, en-SE, en-SG, en-SH, en-SI, en-SL, en-SS, en-SX, en-SZ, en-TC, en-TK, en-TO, en-TT, en-TV, en-TZ, en-UG, en-UM, en-US, en-US-POSIX, en-VC, en-VG, en-VI, en-VU, en-WS, en-ZA, en-ZM, en-ZW, eo, eo-001, es, es-419, es-AR, es-BO, es-CL, es-CO, es-CR, es-CU, es-DO, es-EA, es-EC, es-ES, es-GQ, es-GT, es-HN, es-IC, es-MX, es-NI, es-PA, es-PE, es-PH, es-PR, es-PY, es-SV, es-US, es-UY, es-VE, et, et-EE, eu, eu-ES, ewo, ewo-CM, fa, fa-AF, fa-IR, ff, ff-CM, ff-GN, ff-MR, ff-SN, fi, fi-FI, fil, fil-PH, fo, fo-DK, fo-FO, fr, fr-BE, fr-BF, fr-BI, fr-BJ, fr-BL, fr-CA, fr-CD, fr-CF, fr-CG, fr-CH, fr-CI, fr-CM, fr-DJ, fr-DZ, fr-FR, fr-GA, fr-GF, fr-GN, fr-GP, fr-GQ, fr-HT, fr-KM, fr-LU, fr-MA, fr-MC, fr-MF, fr-MG, fr-ML, fr-MQ, fr-MR, fr-MU, fr-NC, fr-NE, fr-PF, fr-PM, fr-RE, fr-RW, fr-SC, fr-SN, fr-SY, fr-TD, fr-TG, fr-TN, fr-VU, fr-WF, fr-YT, fur, fur-IT, fy, fy-NL, ga, ga-IE, gd, gd-GB, gl, gl-ES, gsw, gsw-CH, gsw-FR, gsw-LI, gu, gu-IN, guz, guz-KE, gv, gv-IM, ha, ha-GH, ha-NE, ha-NG, haw, haw-US, he, he-IL, hi, hi-IN, hr, hr-BA, hr-HR, hsb, hsb-DE, hu, hu-HU, hy, hy-AM, id, id-ID, ig, ig-NG, ii, ii-CN, is, is-IS, it, it-CH, it-IT, it-SM, ja, ja-JP, jgo, jgo-CM, jmc, jmc-TZ, ka, ka-GE, kab, kab-DZ, kam, kam-KE, kde, kde-TZ, kea, kea-CV, khq, khq-ML, ki, ki-KE, kk, kk-KZ, kkj, kkj-CM, kl, kl-GL, kln, kln-KE, km, km-KH, kn, kn-IN, ko, ko-KP, ko-KR, kok, kok-IN, ks, ks-IN, ksb, ksb-TZ, ksf, ksf-CM, ksh, ksh-DE, kw, kw-GB, ky, ky-KG, lag, lag-TZ, lb, lb-LU, lg, lg-UG, lkt, lkt-US, ln, ln-AO, ln-CD, ln-CF, ln-CG, lo, lo-LA, lrc, lrc-IQ, lrc-IR, lt, lt-LT, lu, lu-CD, luo, luo-KE, luy, luy-KE, lv, lv-LV, mas, mas-KE, mas-TZ, mer, mer-KE, mfe, mfe-MU, mg, mg-MG, mgh, mgh-MZ, mgo, mgo-CM, mk, mk-MK, ml, ml-IN, mn, mn-MN, mr, mr-IN, ms, ms-BN, ms-MY, ms-SG, mt, mt-MT, mua, mua-CM, my, my-MM, mzn, mzn-IR, naq, naq-NA, nb, nb-NO, nb-SJ, nd, nd-ZW, ne, ne-IN, ne-NP, nl, nl-AW, nl-BE, nl-BQ, nl-CW, nl-NL, nl-SR, nl-SX, nmg, nmg-CM, nn, nn-NO, nnh, nnh-CM, nus, nus-SS, nyn, nyn-UG, om, om-ET, om-KE, or, or-IN, os, os-GE, os-RU, pa, pa-Arab, pa-Arab-PK, pa-Guru, pa-Guru-IN, pl, pl-PL, prg, prg-001, ps, ps-AF, pt, pt-AO, pt-BR, pt-CV, pt-GW, pt-MO, pt-MZ, pt-PT, pt-ST, pt-TL, qu, qu-BO, qu-EC, qu-PE, rm, rm-CH, rn, rn-BI, ro, ro-MD, ro-RO, rof, rof-TZ, root, ru, ru-BY, ru-KG, ru-KZ, ru-MD, ru-RU, ru-UA, rw, rw-RW, rwk, rwk-TZ, sah, sah-RU, saq, saq-KE, sbp, sbp-TZ, se, se-FI, se-NO, se-SE, seh, seh-MZ, ses, ses-ML, sg, sg-CF, shi, shi-Latn, shi-Latn-MA, shi-Tfng, shi-Tfng-MA, si, si-LK, sk, sk-SK, sl, sl-SI, smn, smn-FI, sn, sn-ZW, so, so-DJ, so-ET, so-KE, so-SO, sq, sq-AL, sq-MK, sq-XK, sr, sr-Cyrl, sr-Cyrl-BA, sr-Cyrl-ME, sr-Cyrl-RS, sr-Cyrl-XK, sr-Latn, sr-Latn-BA, sr-Latn-ME, sr-Latn-RS, sr-Latn-XK, sv, sv-AX, sv-FI, sv-SE, sw, sw-CD, sw-KE, sw-TZ, sw-UG, ta, ta-IN, ta-LK, ta-MY, ta-SG, te, te-IN, teo, teo-KE, teo-UG, th, th-TH, ti, ti-ER, ti-ET, tk, tk-TM, to, to-TO, tr, tr-CY, tr-TR, twq, twq-NE, tzm, tzm-MA, ug, ug-CN, uk, uk-UA, ur, ur-IN, ur-PK, uz, uz-Arab, uz-Arab-AF, uz-Cyrl, uz-Cyrl-UZ, uz-Latn, uz-Latn-UZ, vai, vai-Latn, vai-Latn-LR, vai-Vaii, vai-Vaii-LR, vi, vi-VN, vo, vo-001, vun, vun-TZ, wae, wae-CH, xog, xog-UG, yav, yav-CM, yi, yi-001, yo, yo-BJ, yo-NG, zgh, zgh-MA, zh, zh-Hans, zh-Hans-CN, zh-Hans-HK, zh-Hans-MO, zh-Hans-SG, zh-Hant, zh-Hant-HK, zh-Hant-MO, zh-Hant-TW, zu, zu-ZA ;   sv ;    sv


##################################################
# testClusters
# we favor es-419 over others in cluster. Clusters: es- {ES, MA, EA} {419, AR, MX}

und, es, es-MA, es-MX, es-419 ; 	es-AR ; 	es-419
und, es-MA, es, es-419, es-MX ; 	es-AR ; 	es-419
und, es, es-MA, es-MX, es-419 ; 	es-EA ; 	es
und, es-MA, es, es-419, es-MX ; 	es-EA ; 	es

# of course, fall back to within cluster

und, es, es-MA, es-MX ; 	es-AR ; 	es-MX
und, es-MA, es, es-MX ; 	es-AR ; 	es-MX
und, es-MA, es-MX, es-419 ; 	es-EA ; 	es-MA
